 offer_id |      offer_created_at      | platform | count_responds | count_prematch 
   156886 | 2022-05-02 04:37:18.611662 | admins   |              4 |              4
   156887 | 2022-05-02 04:39:44.545981 | admins   |              0 |              0
   156888 | 2022-05-02 04:45:44.27517  | admins   |              1 |              1
   156889 | 2022-05-02 04:51:20.135225 | admins   |              0 |              0
   156890 | 2022-05-02 05:09:39.944691 | admins   |              0 |              0
   156891 | 2022-05-02 13:14:49.767858 | admins   |              5 |              5
   156892 | 2022-05-02 13:40:16.71624  | admins   |              0 |              0
   156893 | 2022-05-02 13:47:24.48679  | admins   |              3 |              3
   156894 | 2022-05-02 13:48:42.167538 | admins   |              3 |              3
   156895 | 2022-05-02 13:49:44.376153 | admins   |              1 |              1
   156896 | 2022-05-02 13:50:58.230641 | admins   |              4 |              4
   156897 | 2022-05-02 13:51:49.952443 | admins   |              0 |              0
   156898 | 2022-05-02 13:55:43.867252 | admins   |              2 |              2
   156899 | 2022-05-02 13:57:28.049168 | admins   |              0 |              0
   156900 | 2022-05-02 14:00:55.696122 | admins   |              1 |              1
   156901 | 2022-05-02 14:01:49.891509 | admins   |              1 |              1
   156902 | 2022-05-02 14:05:22.403894 | admins   |              2 |              2
   156903 | 2022-05-02 14:07:40.344613 | admins   |              0 |              0
   156904 | 2022-05-02 14:08:46.589493 | admins   |              1 |              1
   156905 | 2022-05-02 14:11:42.578192 | admins   |              3 |              3
   156906 | 2022-05-02 14:20:49.433927 | admins   |              3 |              3
   156907 | 2022-05-02 14:22:10.137004 | admins   |              0 |              0
   156908 | 2022-05-02 14:22:29.312732 | admins   |              5 |              5
   156909 | 2022-05-02 14:24:07.598929 | admins   |              1 |              1
   156910 | 2022-05-02 14:25:19.509558 | admins   |              0 |              0
   156911 | 2022-05-02 14:26:40.652548 | admins   |              0 |              0
   156912 | 2022-05-02 14:27:27.142131 | admins   |              2 |              2
   156913 | 2022-05-02 14:28:33.831802 | admins   |              0 |              0
   156914 | 2022-05-02 14:29:38.963186 | admins   |              0 |              0
   156915 | 2022-05-02 14:31:09.461734 | admins   |              1 |              1
   156916 | 2022-05-02 14:32:34.910375 | admins   |              0 |              0
   156917 | 2022-05-02 14:33:01.728447 | admins   |              1 |              1
   156918 | 2022-05-02 14:34:11.04523  | admins   |              0 |              0
   156919 | 2022-05-02 14:35:32.444393 | admins   |              0 |              0
   156920 | 2022-05-02 14:37:04.451368 | admins   |              0 |              0
   156921 | 2022-05-02 14:37:49.812934 | admins   |              1 |              1
   156922 | 2022-05-02 14:38:10.673834 | admins   |              4 |              4
   156923 | 2022-05-02 14:39:50.397472 | admins   |              2 |              2
   156924 | 2022-05-02 14:39:52.0196   | admins   |              3 |              3
   156925 | 2022-05-02 14:40:57.818357 | admins   |              0 |              0
   156926 | 2022-05-02 14:41:11.703953 | admins   |              4 |              4
   156927 | 2022-05-02 14:41:27.282497 | admins   |              0 |              0
   156928 | 2022-05-02 14:42:23.65287  | admins   |              1 |              1
   156929 | 2022-05-02 14:42:49.898654 | admins   |              0 |              0
   156930 | 2022-05-02 14:42:51.136722 | admins   |              1 |              1
   156931 | 2022-05-02 14:43:11.384832 | admins   |              1 |              1
   156932 | 2022-05-02 14:43:36.132234 | admins   |              1 |              1
   156933 | 2022-05-02 14:44:31.034492 | admins   |              3 |              3
   156934 | 2022-05-02 14:45:04.094992 | admins   |              1 |              1
   156935 | 2022-05-02 14:45:05.440765 | admins   |              0 |              0
   156936 | 2022-05-02 14:45:33.815024 | admins   |              5 |              5
   156937 | 2022-05-02 14:46:53.263492 | admins   |              1 |              1
   156938 | 2022-05-02 14:48:32.189706 | admins   |              2 |              2
   156939 | 2022-05-02 14:48:33.213493 | admins   |              2 |              2
   156940 | 2022-05-02 14:48:35.013726 | admins   |              3 |              3
   156941 | 2022-05-02 14:48:47.765959 | admins   |              3 |              3
   156942 | 2022-05-02 14:53:07.410419 | admins   |              2 |              2
   156943 | 2022-05-02 14:53:27.839218 | admins   |              5 |              5
   156944 | 2022-05-02 14:53:42.239269 | admins   |              0 |              0
   156945 | 2022-05-02 14:54:36.005624 | admins   |              0 |              0
   156946 | 2022-05-02 14:55:20.585724 | admins   |              2 |              2
   156947 | 2022-05-02 14:56:14.69527  | admins   |              5 |              5
   156948 | 2022-05-02 14:56:19.612816 | admins   |              1 |              1
   156949 | 2022-05-02 14:58:11.057038 | admins   |              1 |              1
   156950 | 2022-05-02 14:58:39.443388 | admins   |              3 |              3
   156951 | 2022-05-02 14:58:47.952849 | admins   |              2 |              2
   156952 | 2022-05-02 14:58:49.49001  | admins   |              1 |              1
   156953 | 2022-05-02 15:00:15.938795 | admins   |              1 |              1
   156954 | 2022-05-02 15:00:43.481494 | admins   |              5 |              5
   156955 | 2022-05-02 15:01:11.244565 | admins   |              3 |              3
   156956 | 2022-05-02 15:02:21.814112 | admins   |              1 |              1
   156957 | 2022-05-02 15:03:32.229936 | admins   |              1 |              1
   156958 | 2022-05-02 15:05:31.438162 | admins   |              0 |              0
   156959 | 2022-05-02 15:09:43.30413  | admins   |              0 |              0
   156960 | 2022-05-02 15:10:05.445687 | admins   |              0 |              0
   156961 | 2022-05-02 15:10:54.171448 | admins   |              2 |              2
   156962 | 2022-05-02 15:11:40.323093 | admins   |              1 |              1
   156963 | 2022-05-02 15:12:43.587229 | admins   |              2 |              2
   156964 | 2022-05-02 15:14:09.464071 | admins   |              3 |              3
   156965 | 2022-05-02 15:15:37.265186 | admins   |              4 |              4
   156966 | 2022-05-02 15:15:52.117345 | admins   |              2 |              2
   156967 | 2022-05-02 15:17:04.245958 | admins   |              1 |              1
   156968 | 2022-05-02 15:20:08.692068 | admins   |              0 |              0
   156969 | 2022-05-02 15:21:58.473587 | admins   |              0 |              0
   156970 | 2022-05-02 15:22:14.408803 | admins   |              2 |              2
   156971 | 2022-05-02 15:24:02.588739 | admins   |              0 |              0
   156972 | 2022-05-02 15:29:00.612573 | admins   |              0 |              0
   156973 | 2022-05-02 15:29:43.81649  | admins   |              1 |              1
   156974 | 2022-05-02 15:30:16.989552 | admins   |              2 |              2
   156975 | 2022-05-02 15:32:09.247196 | admins   |              2 |              2
   156976 | 2022-05-02 15:33:46.156645 | admins   |              5 |              5
   156977 | 2022-05-02 15:33:54.148169 | admins   |              5 |              5
   156978 | 2022-05-02 15:37:43.638211 | admins   |              3 |              3
   156979 | 2022-05-02 15:38:36.775348 | admins   |              5 |              5
   156980 | 2022-05-02 15:40:11.204346 | admins   |              1 |              1
   156981 | 2022-05-02 15:45:24.809093 | admins   |              2 |              2
   156982 | 2022-05-02 15:52:44.096289 | admins   |              1 |              1
   156983 | 2022-05-02 15:56:32.811515 | admins   |              6 |              6
   156984 | 2022-05-02 15:57:12.597039 | admins   |              1 |              1
   156985 | 2022-05-02 15:58:18.198728 | admins   |              5 |              5
   156986 | 2022-05-02 16:00:15.45652  | admins   |              0 |              0
   156987 | 2022-05-02 16:01:10.936879 | admins   |              0 |              0
   156988 | 2022-05-02 16:02:43.023445 | admins   |              2 |              2
   156989 | 2022-05-02 16:03:10.785932 | admins   |              5 |              5
   156990 | 2022-05-02 16:03:57.242707 | admins   |              0 |              0
   156991 | 2022-05-02 16:04:22.048898 | admins   |              2 |              2
   156992 | 2022-05-02 16:04:42.200922 | admins   |              2 |              2
   156993 | 2022-05-02 16:06:23.241211 | admins   |              0 |              0
   156994 | 2022-05-02 16:07:42.130727 | admins   |              1 |              1
   156995 | 2022-05-02 16:10:06.477628 | admins   |              0 |              0
   156996 | 2022-05-02 16:12:53.551973 | admins   |              3 |              3
   156997 | 2022-05-02 16:14:24.838358 | admins   |              1 |              1
   156998 | 2022-05-02 16:14:36.466404 | admins   |              1 |              1
   156999 | 2022-05-02 16:18:57.675687 | admins   |              0 |              0
